Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
West Hants,Rural Municipality,2018-19,10479765,1465961,0,19329,1485290,374624,22921,397545,5653,0,84494,0,90147,69920,0,0,69920,12522667,0,960535,0,0,960535,738423,10843,749266,-3423169,-202996,-53799,-3679964,10552504,69094,59924,0,0,59924,129018,0,73550,406630,480180,0,0,0,0,0,0,0,35819,168236,0,204055,45922,22671,3600,0,126896,280471,315510,795070,132305,192906,71846,0,5119,575,402751,1355367,0,716319,-12118,2059568,0,1528572,0,16151718,41793,2629,188621,3529,24712,261284,1012783,45855,279847,0,1338485,0,1665,0,252300,651342,2505076,2391217,155095,1185947,1341042,151604,0,807218,384446,5075527,216746,422987,0,0,0,6343,0,201379,0,847455,519427,1528325,0,66645,66645,25762,0,357569,0,2497728,0,0,0,0,0,0,510517,50262,0,0,0,118209,678988,738702,56800,95764,,0,0,90305,128211,1128540,0,0,0,0,1395780,53070,439372,1888222,0,0,0,0,14621536
Yarmouth,Rural Municipality,2018-19,7334777,747910,0,0,747910,448764,16591,465355,0,0,20753,0,20753,47249,13264,0,60513,8629308,719338,270953,305773,-305773,990291,356665,0,356665,-2121911,-138329,-39776,-2300016,7676248,8732,23152,0,0,23152,31884,0,0,311000,311000,0,0,0,0,0,0,0,136444,63958,15749,216151,30621,27859,386399,938101,453533,164544,411843,2412900,129875,145826,28919,3701,0,-284420,23901,0,86114,0,0,86114,0,0,0,10758198,38455,10143,140351,21195,0,210144,899662,125171,209094,15337,1249264,0,111743,0,242716,108103,1921970,1009744,755683,0,755683,0,0,0,-306402,1459025,356940,172625,325307,0,0,8137,0,339359,269308,1471676,207357,844915,0,0,0,2412,0,363706,561389,1979779,41749,0,0,0,0,41749,75555,133381,40,0,810868,-55621,964223,740697,650,65394,,0,0,342018,645956,1794715,-91111,0,0,-91111,0,0,0,0,0,0,0,0,9542026
CBRM,Regional Municipality,2017-18,69563851,30320283,0,0,30320283,1419013,0,1419013,0,0,0,0,0,451480,209389,0,660869,101964016,744842,745767,97197,-97197,1490609,2551386,0,2551386,-13644540,-1084442,-1821504,-16550486,89455525,3869533,2081609,151604,281040,2514253,6383786,0,340408,0,340408,2051179,0,704470,0,2154575,0,0,1809974,0,28535,6748733,530615,329724,546783,387301,150403,1576999,212833,3734658,15335838,2740609,524444,0,0,0,18600891,6551604,13450846,556909,519501,21078860,0,18229707,0,164572568,113526,26595,499142,125399,648451,1413113,6377566,20625,1359643,0,7757834,800000,370734,321118,568026,5860429,17091254,26400160,0,11306762,11306762,85932,113768,1896539,502714,40305875,956348,20111441,0,0,3507720,942696,66410,7103485,2589506,35277606,2143259,11277195,0,1708506,1708506,158089,1180,2837588,656204,18782021,0,0,0,0,0,0,1127637,0,0,0,302118,0,1429755,9853660,332341,659902,,122262,22029,2458167,25177,13473538,-189010,9153000,0,8963990,9379005,1693146,3455156,14527307,0,0,0,0,149851346
HRM,Regional Municipality,2017-18,240614361,219395625,0,0,219395625,1416865,130713,1547578,0,0,0,0,0,1655908,0,4705456,6361364,467918928,227481767,0,0,0,227481767,41970625,4773910,46744535,-135489740,-6685218,-3518272,-145693230,596452000,28831862,8888671,0,848467,9737138,38569000,0,0,0,0,5648355,7245260,36229804,188746,5195946,0,3308184,39034705,0,2625000,99476000,7104607,6021996,7044966,0,4670000,5340426,34640005,64822000,0,3731312,3627852,0,3746836,0,11106000,25748000,29482000,12219000,0,67449000,21783000,0,0,899657000,177000,571820,1384000,1409654,0,3542474,68561770,5243149,6982623,0,80787542,4207096,3424002,0,20763804,2496082,115221000,124982074,7243151,67656743,74899894,283424,0,4069014,9678594,213913000,24311280,48000867,0,0,101546175,2944936,0,94982742,0,271786000,0,37830254,0,345333,345333,228864,0,2759549,0,41164000,0,0,0,0,0,0,15379530,0,37216,0,43338,10788916,26249000,34194818,3061950,27195000,,1432145,0,15151684,50575403,131611000,0,0,15896000,15896000,0,0,0,0,0,0,0,0,815840000
Queens,Regional Municipality,2017-18,7160489,1438989,0,502,1439491,777821,30610,808431,0,0,10642,0,10642,47364,0,0,47364,9466417,1510203,536804,38431,-38431,2047007,405352,0,405352,-2767831,-179414,-102892,-3050137,8868639,58740,230435,29473,0,259908,318648,0,0,1906080,1906080,0,17647,0,0,731306,1298700,0,762826,0,7530,2818009,48580,36772,150931,0,67201,196708,33052,533244,1217234,734355,46528,0,11149,0,2009266,681424,54763,84726,0,820913,0,747374,0,18022173,37610,0,132358,0,30475,200443,759791,65381,311068,58994,1195234,326404,0,0,22294,216021,1960396,2043390,197235,1049575,1246810,0,0,31629,220792,3542621,1273651,1027777,8605,0,0,2352,0,187569,0,2499954,349453,1678070,287704,696855,984559,17492,0,734834,0,3764408,1298700,0,0,22708,29497,1350905,255600,589030,1468,0,69630,0,915728,1686441,233563,79302,,77128,0,616786,0,2693220,-1797713,12308,0,-1785405,575095,22317,105694,703106,0,0,0,0,15644933
Amherst,Town,2017-18,6349330,5715571,0,0,5715571,26597,1034,27631,0,0,0,0,0,42240,0,47543,89783,12182315,548090,1048664,0,0,1596754,208794,0,208794,-1583700,-115148,-238071,-1936919,12050944,130674,133872,28498,26970,189340,320014,0,0,186323,186323,0,202780,0,6585,35822,0,0,9105,0,1411227,1665519,33330,38186,182143,7246,67902,93733,162466,585006,1260382,8910,50229,0,0,0,1319521,687995,1966644,1275673,0,3930312,0,1408868,0,21466507,36447,4998,132085,35641,24283,233454,970004,99455,116575,219858,1405892,16716,0,0,91742,403596,2151400,3713888,0,942546,942546,53187,0,221085,106461,5037167,38913,1148358,0,0,0,57244,0,993545,556628,2794688,627513,547187,0,1299193,1299193,156066,0,398398,14785,3043142,0,0,0,0,0,0,217745,120307,0,0,10603,-3142,345513,1324072,77582,61820,,69922,0,275896,253120,2062412,0,0,0,0,1169792,19311,308178,1497281,0,0,0,0,16931603
Annapolis Royal,Town,2017-18,630603,309628,0,0,309628,4478,0,4478,0,0,0,0,0,5933,0,0,5933,950642,25958,0,0,0,25958,70040,2906,72945,-122850,-10499,-13244,-146593,902952,31747,21988,0,0,21988,53735,0,0,0,0,0,0,0,0,45247,0,0,45690,0,29996,120933,3716,9348,7500,0,16706,13526,19501,70296,91956,322174,5391,112983,103500,91787,727791,52206,369878,131967,10000,564051,0,377199,0,2816957,10980,14039,21470,0,0,46489,212907,17391,11893,37591,279782,-10000,0,763,24221,27740,368996,308209,0,73000,73000,0,0,47505,38419,467133,99569,53510,0,0,5000,0,0,78204,0,236282,92881,63317,0,0,0,4315,0,115856,-9763,266606,13244,0,0,0,0,13244,193419,37640,0,0,0,22500,253558,78287,1662,7235,,0,0,70987,0,158171,0,113106,122580,235686,288376,2428,41381,332186,0,0,0,0,2331861
Antigonish,Town,2017-18,3165817,1738655,0,0,1738655,7177,0,7177,0,0,218,0,218,30115,0,0,30115,4941982,435884,459876,0,0,895760,260716,154921,415637,-1440172,-81386,-80305,-1601863,4651516,85597,1013159,0,3302,1016461,1102058,0,0,292158,292158,0,36000,0,72460,0,0,0,118077,3956859,0,4183396,60269,89368,16545,0,14929,24943,39646,245700,176706,0,36536,0,34996,3500,251738,310981,38320,0,0,349301,0,1275138,11492834,23843839,33621,17884,116861,2941,1822,173129,706846,0,77660,0,784506,0,24817,9518,54503,360231,1406704,1598734,0,162563,162563,16881,0,95196,224096,2097470,1000378,383802,0,0,0,33588,0,439882,0,1857650,455539,431986,0,0,0,0,0,167055,0,1054580,0,0,0,0,0,0,331703,1404684,719530,0,1080456,276871,3813244,428098,34491,37190,,24587,0,88705,0,613071,0,0,0,0,487606,69878,329910,887394,10820492,0,224134,11044626,22774739
Berwick,Town,2017-18,1516187,896768,0,0,896768,11979,0,11979,0,0,1352,0,1352,11102,0,0,11102,2437388,501310,454194,0,0,955504,75109,20146,95255,-500064,-28594,-15316,-543974,2944173,7763,0,0,0,0,7763,0,0,169541,169541,0,0,0,0,25922,0,0,97788,1695796,0,1819506,4983,6565,56578,207007,7421,37650,84657,404861,221479,0,17094,0,37233,23044,298850,0,0,0,395944,395944,0,0,4988706,11029344,18971,0,57747,0,38057,114775,452142,121637,37779,0,611558,27140,55802,31088,153284,116310,1109957,631839,0,217268,217268,39611,0,0,15911,904629,539658,151043,0,0,62726,7411,0,182321,0,943159,349351,206996,0,0,0,13369,0,212878,20409,803003,0,0,0,0,0,0,35079,94858,282205,0,463052,655037,1530231,292457,41,15767,,0,0,42310,0,350575,0,0,0,0,0,0,0,0,4649575,19910,273633,4943118,10584672
Bridgewater,Town,2017-18,8032022,6677862,0,0,6677862,37188,0,37188,0,0,236,0,236,41442,0,0,41442,14788750,499381,1123462,0,0,1622843,407486,0,407486,-2020659,-121780,-53064,-2195503,14623576,35766,694196,13144,38100,745440,781206,0,0,0,0,3390,34351,19655,0,0,53794,44270,627118,0,0,782578,52544,46073,78843,0,108047,87901,2443979,2817387,531657,15006,51891,0,0,0,598554,492925,389116,784868,286587,1953496,806944,0,0,22363741,31850,3122,110301,5402,37906,188581,990781,80351,122653,384,1194169,19179,2868,11854,295678,595907,2308236,3928112,747093,501071,1248164,16606,0,269234,264121,5726237,990136,883967,0,0,146746,57190,6746,1685690,0,3770475,1122445,868298,0,0,0,13061,1281,813842,0,2818927,197788,1321,0,20047,0,219156,367942,47780,0,0,77716,55519,548957,1962559,255771,50673,,136523,8836,620843,195553,3230758,0,0,0,0,0,0,0,0,0,0,0,0,18622746
Clark's Harbour,Town,2017-18,476225,411949,0,0,411949,15848,0,15848,0,0,0,0,0,5268,0,0,5268,909290,0,86010,0,0,86010,18894,0,18894,-114463,-9670,-30664,-154797,859397,31014,2026,0,0,2026,33040,0,0,758,758,0,0,0,0,0,0,0,0,0,0,0,0,1307,13107,0,1736,10921,14745,41816,139822,0,4134,0,50000,0,193956,44155,5243,0,0,49398,0,0,0,1178365,16483,184,72159,1497,0,90323,170063,600,11932,0,182595,171,8262,1118,19985,13418,315872,155593,0,33780,33780,0,0,0,20230,209603,57101,30623,0,0,0,0,0,64871,0,152595,98759,167800,0,0,0,0,0,49482,0,316041,0,0,0,0,1208,1208,0,15990,0,0,14090,1566,31646,77812,26033,5272,,1321,0,36303,0,146741,0,0,0,0,0,0,0,0,0,0,0,0,1173706
Digby,Town,2017-18,1726367,921163,36837,0,958000,11032,0,11032,0,0,0,0,0,13328,0,17910,31238,2726637,287220,236127,0,0,523347,63107,0,63107,-357991,-27090,-73549,-458630,2854461,52525,119827,6739,262460,389026,441551,0,0,148591,148591,600,765,0,0,0,0,1025,0,0,0,2390,3672,10087,11536,0,18896,70450,15846,130487,368558,0,15346,0,5837,0,389741,173862,12250,8000,35315,229427,0,627257,0,4823905,22815,4347,64945,13261,0,105368,359610,19013,27032,0,405655,0,154,0,17129,133207,661513,903420,0,145073,145073,396,0,164338,110885,1324112,320165,259054,0,0,4000,10229,781,176339,0,770568,283004,312671,0,0,0,31673,0,181959,0,809307,0,0,0,0,0,0,16106,17237,0,0,1548,86770,121661,308932,37739,12703,,1182,862,95781,0,457199,0,0,0,0,334463,2937,188642,526042,0,0,0,0,4670402
Kentville,Town,2017-18,5518319,1936574,0,0,1936574,38940,85,39025,0,0,532,0,532,39626,0,645435,685061,8179511,92597,866650,561589,-561589,959247,0,0,0,-1533487,-86589,-46308,-1666384,7472374,402220,120486,0,0,120486,522706,0,111365,126530,237895,38410,581327,0,6150,433325,0,0,5435,0,0,1064647,10317,34616,378129,0,495841,67287,828529,1814719,167850,8124,52417,0,0,0,228391,146113,4562,137810,1700,290185,0,1875143,0,13506060,37632,7727,129767,22777,8057,205960,724389,69693,89362,0,883444,6395,6131,7385,112054,260616,1481985,2799462,0,167040,167040,26495,0,174875,253623,3421495,497553,883961,0,0,204372,97498,1772,817829,0,2502985,1094500,631574,0,0,0,9723,248,125102,843,1861990,0,0,0,0,4000,4000,207783,131267,34552,6895,24696,247734,652927,1026996,97386,36948,,16657,153,188710,89361,1456211,0,0,0,0,994485,43609,427899,1465993,0,0,0,0,12847586
Lockeport,Town,2017-18,526437,385013,0,0,385013,15195,0,15195,0,0,0,0,0,5540,0,0,5540,932185,0,14291,0,0,14291,20444,0,20444,-93150,-7871,-6500,-107521,859399,13470,1483,323,0,1806,15276,0,0,18615,18615,0,0,0,0,0,0,0,3173,0,0,3173,840,651,4565,0,226,18754,36868,61904,158081,641,5116,0,0,0,163838,39954,45301,5812,0,91067,0,0,0,1213272,15613,1730,43105,738,0,61186,178885,0,7446,0,186331,1607,436,0,4501,33793,287854,155851,0,34244,34244,155,0,16539,9938,216727,103497,52532,0,0,0,2969,0,77668,0,236666,60069,131513,0,0,0,1483,0,80456,0,273521,7015,0,0,1235,0,8250,0,869,4879,0,0,75781,81529,95861,19225,4088,,488,0,43339,0,163001,0,0,0,0,0,0,0,0,0,0,0,0,1267548
Lunenburg,Town,2017-18,2888481,1333956,54982,0,1388938,6774,0,6774,0,0,118,0,118,17575,0,0,17575,4301886,0,823773,0,0,823773,194128,0,194128,-792930,-41429,-18617,-852976,4466811,0,224403,5019,0,229422,229422,0,0,0,0,7116,0,0,105647,14992,0,1382,272301,0,0,401438,15105,14913,173662,0,58940,76061,455146,793827,50000,0,31036,0,0,0,81036,201575,1033973,3147444,8973,4391965,0,1396996,6221424,17982919,7701,833,25573,513,7331,41951,286811,35110,46899,0,368820,0,3233,0,34622,56619,505245,780149,281312,136102,417414,12070,0,71655,48475,1329763,293408,507801,0,0,0,11350,32963,344340,0,1189862,713137,225154,0,154275,154275,5103,0,532165,0,1629834,87163,0,0,0,0,87163,99838,286801,6348,4100,85493,0,482580,529651,21632,14760,,777,351,118896,120632,806699,0,0,0,0,907495,22261,308461,1238217,5842971,43668,202274,6088913,13358276
Mahone Bay,Town,2017-18,1364551,592916,600,0,593516,15735,0,15735,0,0,21,0,21,5073,0,0,5073,1978896,184920,0,0,0,184920,90267,0,90267,-393640,-20054,-11485,-425179,1828904,0,567,0,21760,22327,22327,0,0,131546,131546,1160,0,0,429,478,0,0,1529,589506,249,593351,26495,1723,39600,0,20619,18887,13870,121194,50000,850,15660,0,0,148496,215006,79482,1106751,571145,0,1757378,23807,447626,2187480,7328619,10258,9666,32026,3019,4742,59711,245720,101616,23774,936,372046,200,129652,29479,251476,15301,857865,313958,111096,76406,187502,0,0,0,30389,531849,108853,160994,0,0,0,0,0,333242,0,603089,111816,79842,2251,86179,88430,0,0,85494,0,365582,0,0,0,0,9096,9096,51851,5145,0,0,0,37561,94557,39125,10411,5769,,0,0,0,0,55304,0,249471,0,249471,374928,0,117781,492709,1903112,0,33606,1936718,5196240
Middleton,Town,2017-18,1633120,612572,11826,0,624398,3960,36,3996,0,0,671,0,671,9641,0,49176,58817,2321002,0,435405,0,0,435405,111651,0,111651,-347052,-24418,-35788,-407258,2460800,33606,95453,23923,0,119376,152982,0,0,84461,84461,0,0,0,22439,0,0,0,39406,0,0,61845,2368,5916,18599,0,4502,59391,5132,95908,338073,488,13367,0,0,18095,370023,67323,6621,47739,6026,127709,0,487567,0,3841295,11200,3360,39550,8766,0,62876,298700,10765,23678,0,333143,0,0,4187,23351,63988,487545,599893,0,136478,136478,6651,199,89923,58498,891642,303405,340565,0,0,21000,11441,-89,155130,0,831452,190994,140966,0,0,0,45751,0,260994,0,638705,0,0,0,0,0,0,72790,92387,0,0,0,3964,169141,350452,12885,11528,,63,13,42343,34654,451938,0,0,0,0,359030,645,56893,416568,0,0,0,0,3886991
Mulgrave,Town,2017-18,296570,904825,0,0,904825,21193,320,21513,0,0,0,0,0,3700,15748,0,19448,1242356,400510,0,0,0,400510,5678,0,5678,-138493,-9253,-15524,-163270,1485274,0,1069,0,14188,15257,15257,0,0,0,0,0,0,0,381,0,0,0,33863,0,0,34244,245,505,32632,0,19950,29854,31289,114475,127508,747,0,0,0,1000,129255,54999,0,324592,0,379591,0,493073,0,2651169,10625,0,22420,2335,10377,45757,234843,126718,15680,0,377241,-26644,0,3923,5720,91402,497399,151969,0,53703,53703,1268,0,19760,4418,231118,245305,126182,0,0,0,4983,0,108381,-154585,330266,150470,53221,0,13711,13711,6516,0,91740,0,315658,0,0,0,0,0,0,0,0,0,0,0,0,0,129611,5736,17912,,0,0,10302,63094,226655,0,0,0,0,285770,37996,47069,370835,0,0,0,0,1971931
New Glasgow,Town,2017-18,8021125,6026272,0,0,6026272,41689,0,41689,0,0,0,0,0,51996,0,2664,54660,14143746,564000,1171392,0,0,1735392,220323,0,220323,-1739796,-119693,-190317,-2049806,14049655,60322,10666,105238,0,115904,176226,0,0,824067,824067,76737,0,0,0,0,0,0,0,0,0,76737,582,125472,173839,0,17731,238875,275517,832016,1055434,1009,71472,0,3254,0,1131169,783100,2828100,500000,0,4111200,0,3649300,0,24850370,30351,7409,116978,17260,3365,175363,859884,107790,119372,220323,1307369,74067,44250,21282,275800,507129,2405260,5007912,0,1085597,1085597,21062,0,242700,27256,6384527,1704033,1200685,0,0,36000,101711,0,1057200,0,4099629,1122808,657295,0,0,0,40748,0,151400,0,1972251,5000,0,0,0,0,5000,190936,0,0,0,0,11872,202808,1090030,94525,80035,,62847,0,256700,98341,1682478,0,13376,0,13376,2344500,78762,445000,2868262,0,0,0,0,19633591
Oxford,Town,2017-18,733709,992340,0,0,992340,10435,182,10617,0,0,2558,0,2558,3759,0,0,3759,1742983,0,118003,0,0,118003,0,0,0,-209527,-14952,-19827,-244306,1616680,23950,22843,0,0,22843,46793,0,0,68547,68547,20,0,0,0,0,0,0,53794,0,0,53814,155,161,20026,17036,6612,29068,60587,133645,178171,0,9613,0,0,1000,188784,0,3041,128787,35000,166828,0,370887,0,2645978,9416,1045,24531,5437,0,40429,289488,0,18421,0,307909,1461,3064,5747,23181,40269,422060,497894,0,114916,114916,15004,0,50236,36264,714314,254676,0,0,0,0,17508,0,138481,5573,416238,78951,129451,0,0,0,0,0,71311,0,279713,33810,1095,0,6879,0,41784,16190,40707,0,0,0,0,56897,160240,9982,8448,,3160,0,30615,79588,292033,0,0,0,0,381478,0,58873,440351,0,0,0,0,2663390
Pictou,Town,2017-18,2184764,976475,0,0,976475,22247,0,22247,0,0,148,0,148,18152,0,0,18152,3201786,430767,539831,0,0,970598,0,42931,42931,-496524,-39819,-100500,-636843,3578472,140117,193365,8556,0,201921,342038,0,0,17317,17317,0,0,0,0,0,0,0,257068,0,0,257068,182,6524,202281,0,10659,142839,14517,377002,545561,907,22168,0,148,31468,600252,218742,643983,643983,32152,1538860,0,763198,0,7474207,20740,0,50034,6242,0,77016,503034,152461,43229,0,698724,42689,0,12008,38804,5000,874241,750867,0,188486,188486,13264,0,36228,101964,1090809,457012,475160,0,0,20000,1448,0,156500,0,1110120,374589,239499,0,0,0,58756,0,511501,0,1184345,47585,0,0,0,0,47585,12565,0,0,0,0,87905,100470,362738,82755,32416,,6822,0,91375,128757,704863,0,0,0,0,544309,38640,194137,777085,0,0,0,0,5889519
Port Hawkesbury,Town,2017-18,2552988,2121427,0,0,2121427,28705,0,28705,0,0,0,0,0,24587,0,0,24587,4727707,0,0,0,0,0,67797,0,67797,-627070,-40784,-45428,-713282,4082222,98992,626109,46823,0,672932,771924,0,0,241387,241387,6855,0,0,236436,0,0,31056,665991,0,0,940338,2368,6986,133602,0,19938,75041,77987,315922,298730,9268,21334,0,6259,0,335591,0,1387049,1863729,79769,3330547,0,1123899,0,11141830,28130,3184,60615,4675,0,96604,617978,179351,43998,66153,907480,3435,2644,0,70013,150879,1231055,1015702,0,133441,133441,0,0,1715,2092,1152950,105724,622570,220758,0,0,6823,0,410166,5009,1371050,322023,177185,0,42012,42012,44863,0,257528,0,843611,0,0,0,0,0,0,69140,22455,0,0,0,0,91595,1428368,0,21147,,115437,0,584014,180534,2329500,0,-22310,0,-22310,816497,31790,249952,1098239,0,0,0,0,8095689
Shelburne,Town,2017-18,1449247,706117,13213,0,719330,23941,24,23965,0,0,0,0,0,12334,0,0,12334,2204876,211441,284291,0,0,495732,66471,0,66471,-271057,-21662,-56383,-349102,2417977,10590,5171,424,0,5595,16185,0,0,64208,64208,0,0,0,0,0,0,0,10534,0,227153,237687,3320,12648,167430,0,26648,49679,324272,583997,359645,0,18834,0,2142,19000,399621,129786,177474,104657,14785,426702,0,460225,0,4606602,19866,6091,49404,5563,0,80924,521373,52025,26498,0,599896,41883,4800,14880,2163,91549,836095,738868,1901,109488,111389,2014,96,68917,59456,980740,109411,292601,0,165543,0,16273,13,189816,0,773657,156862,247286,0,0,0,255,0,108139,0,512542,0,0,0,704,16462,17166,382,255585,326,0,4920,134600,395813,304593,84967,11652,,1896,0,219556,0,622664,0,0,0,0,253425,43117,159875,456417,0,0,0,0,4595094
Stellarton,Town,2017-18,3257751,3229327,0,0,3229327,15499,0,15499,0,0,91,0,91,20032,0,3932,23964,6526632,0,0,0,0,0,58434,0,58434,-798840,-53728,-51051,-903619,5681447,32781,73287,42900,0,116187,148968,0,0,104903,104903,0,50067,0,0,0,0,5554,223841,0,0,279462,1405,34258,0,0,37746,53375,658852,785636,500684,16442,42991,0,0,0,560117,329142,982378,1059665,0,2371184,0,1519053,0,11450770,20343,304,58992,1902,22893,104434,607877,11200,56695,0,675772,13827,1388,0,21813,125641,942875,1637914,0,163019,163019,0,0,74455,5957,1881345,1137576,410272,0,0,20000,6345,0,833061,0,2407254,433676,300425,0,0,0,5322,0,131062,0,870485,0,0,0,0,0,0,76352,0,146574,0,7669,5973,236568,540045,26781,39928,,0,0,216430,322866,1146050,0,0,0,0,735253,255226,403878,1394357,0,0,0,0,8878934
Stewiacke,Town,2017-18,1276505,352054,0,249,352303,21897,128,22025,0,0,3085,0,3085,7338,0,0,7338,1661256,95811,157164,88215,-80696,260494,56261,0,56261,-258842,-17390,-29877,-306109,1671902,3286,2375,0,0,2375,5661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4365,1708,13294,0,4606,22142,146001,192116,202349,0,9845,0,0,0,212194,81352,0,1115846,0,1197198,0,513232,0,3792303,11642,1486,48573,12764,0,74465,400789,1750,21009,0,423548,0,0,3573,3920,33695,539201,157399,161065,1970,163035,0,0,0,26549,346983,177589,149706,0,0,0,15122,0,198110,0,540527,57514,78765,0,0,0,0,0,80928,0,217207,0,0,0,0,0,0,7136,0,0,0,0,13396,20532,152968,44106,9326,,0,0,33377,0,239777,0,0,0,0,267516,33252,76566,377334,0,0,0,0,2281561
Trenton,Town,2017-18,1719799,298886,0,0,298886,19478,0,19478,0,0,0,0,0,6970,0,0,6970,2045133,0,0,0,0,0,13766,0,13766,-342828,-27102,-55204,-425134,1633765,3764,0,0,0,0,3764,0,0,147143,147143,8454,9171,0,0,9171,0,0,255404,0,0,282200,1971,673,4600,0,3538,65018,21085,96885,420922,979518,15868,0,0,0,1416308,154174,1069262,536383,0,1759819,0,482462,0,5822346,15929,517,33852,874,11126,62298,378081,12726,32105,4079,426991,-9334,0,15332,72563,55355,623205,586391,0,85594,85594,0,0,643,1807,674435,190130,368770,0,0,9200,13158,0,278196,0,859454,167070,155261,0,0,0,29237,4526,128146,0,484240,0,0,0,0,0,0,177739,0,0,0,0,17504,195243,840221,0,23238,,10507,0,165529,0,1039495,0,0,0,0,356417,0,35192,391609,0,0,0,0,4267681
